schema,table_name,table_type,column_name,ordinal_position,is_nullable,data_type,udt_name,full_type,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,column_default,is_primary_key,primary_key_name,is_foreign_key,foreign_key_name,foreign_table_schema,foreign_table_name,foreign_column_name
fin,adjunto,TABLE,id,1,NO,bigint,int8,bigint,,64,0,,nextval('fin.adjunto_id_seq'::regclass),YES,adjunto_pkey,NO,,,,
fin,adjunto,TABLE,entidad,2,NO,character varying,varchar,character varying(40),40,,,,,NO,,NO,,,,
fin,adjunto,TABLE,entidad_id,3,NO,bigint,int8,bigint,,64,0,,,NO,,NO,,,,
fin,adjunto,TABLE,nombre,4,NO,character varying,varchar,character varying(220),220,,,,,NO,,NO,,,,
fin,adjunto,TABLE,mime,5,YES,character varying,varchar,character varying(120),120,,,,,NO,,NO,,,,
fin,adjunto,TABLE,storage_path,6,NO,character varying,varchar,character varying(500),500,,,,,NO,,NO,,,,
fin,adjunto,TABLE,hash_sha256,7,YES,character varying,varchar,character varying(80),80,,,,,NO,,NO,,,,
fin,adjunto,TABLE,created_at,8,NO,timestamp with time zone,timestamptz,timestamp with time zone(6),,,,6,now(),NO,,NO,,,,
fin,ap_documento,TABLE,id,1,NO,bigint,int8,bigint,,64,0,,nextval('fin.ap_documento_id_seq'::regclass),YES,ap_documento_pkey,NO,,,,
fin,ap_documento,TABLE,uuid,2,NO,uuid,uuid,uuid,,,,,gen_random_uuid(),NO,,NO,,,,
fin,ap_documento,TABLE,proveedor_id,3,NO,bigint,int8,bigint,,64,0,,,NO,,NO,,,,
fin,ap_documento,TABLE,tipo,4,NO,USER-DEFINED,ap_doc_tipo,USER-DEFINED::ap_doc_tipo,,,,,,NO,,NO,,,,
fin,ap_documento,TABLE,estado,5,NO,USER-DEFINED,ap_doc_estado,USER-DEFINED::ap_doc_estado,,,,,'BORRADOR'::fin.ap_doc_estado,NO,,NO,,,,
fin,ap_documento,TABLE,folio,6,NO,character varying,varchar,character varying(40),40,,,,,NO,,NO,,,,
fin,ap_documento,TABLE,fecha_emision,7,NO,date,date,date,,,,0,,NO,,NO,,,,
